target,split_view,configuration,folds,mean_valid_r2,sd_valid_r2,mean_valid_mae,mean_valid_rmse,mean_valid_minus_null_r2,positive_null_gap_folds,global_non_null_viability
bulk_modulus_kv,chemical_system_group_4fold,B,4,-0.03987528497251591,0.038011106106617315,53.373046665827104,65.51792201982954,0.06500544151804993,2,False
bulk_modulus_kv,chemical_system_group_4fold,BASE,4,-0.005524106016386698,0.04290396201187866,52.626464879116355,64.4288170317895,0.03639208112392253,3,False
bulk_modulus_kv,chemical_system_group_4fold,B_E,4,0.28402701384889484,0.07618165934892542,42.02519022473555,54.08756556121949,0.5854574880422894,4,True
bulk_modulus_kv,chemical_system_group_4fold,C,4,0.47995429719984617,0.05198034028105406,33.509295555131715,46.092724070802305,0.6137183563380832,4,True
bulk_modulus_kv,chemical_system_group_4fold,C_E,4,0.48434714497939046,0.07193412404250452,33.6781262029143,45.78392107775843,0.7087719948865939,4,True
bulk_modulus_kv,chemical_system_group_4fold,C_SHAM_E,4,0.4389768174023022,0.03028036459949143,35.891531844676095,47.977070164258784,0.6203727364270293,4,True
bulk_modulus_kv,chemical_system_group_4fold,E,4,0.3004270424804212,0.07065437481728279,41.28390141873547,53.4729632139551,0.50953170887634,4,True
bulk_modulus_kv,chemical_system_group_4fold,SHAM_B_E,4,-0.13629539259592477,0.06710506400533169,56.26981381040226,68.49657192022062,0.011605829531414535,2,False
bulk_modulus_kv,chemical_system_group_4fold,SHAM_C,4,-0.03574253511312936,0.03335748695501628,52.980527933531555,65.38117472714188,0.061300213512423984,3,False
bulk_modulus_kv,jid_order_contiguous_4fold,B,4,-0.0688477345967547,0.09323891290551373,53.84736153406295,66.661605744657,-0.007415087054409297,2,False
bulk_modulus_kv,jid_order_contiguous_4fold,BASE,4,0.006659651767822766,0.07527152340641666,52.21703424922923,64.19607215927704,0.05110141605272919,3,True
bulk_modulus_kv,jid_order_contiguous_4fold,B_E,4,0.23384307360746728,0.2831985709255605,42.27124764401585,55.55698629176317,0.3742789795344236,3,True
bulk_modulus_kv,jid_order_contiguous_4fold,C,4,0.48449704561804363,0.10016885953469537,33.68149207763661,45.960859720494554,0.5090266804320758,4,True
bulk_modulus_kv,jid_order_contiguous_4fold,C_E,4,0.46988461723515307,0.15165350034088884,33.8037173165262,46.34158658567015,0.6115798707041991,4,True
bulk_modulus_kv,jid_order_contiguous_4fold,C_SHAM_E,4,0.43020286002546815,0.13991402874383105,36.53429293619367,48.14099402529175,0.5788545910385359,4,True
bulk_modulus_kv,jid_order_contiguous_4fold,E,4,0.2615023705499346,0.3015628783713589,41.63396048996911,54.397650908502,0.38009007856676935,3,True
bulk_modulus_kv,jid_order_contiguous_4fold,SHAM_B_E,4,-0.11113731278017891,0.09543301558323602,55.11526668504194,67.80295752708992,0.009076871571267464,2,False
bulk_modulus_kv,jid_order_contiguous_4fold,SHAM_C,4,-0.030030246774961022,0.1277178676168493,52.505932224901784,65.20367745179566,0.015138603291457053,3,False
shear_modulus_gv,chemical_system_group_4fold,B,4,0.018210934911738585,0.02500151528294861,26.694649196594547,34.74054015115163,0.1648081155468512,4,True
shear_modulus_gv,chemical_system_group_4fold,BASE,4,0.02971794143591014,0.01410444910058959,26.36503693558299,34.515838385775815,0.09333033847410849,4,True
shear_modulus_gv,chemical_system_group_4fold,B_E,4,0.23780206203205867,0.09255357660285869,23.273398196507788,30.385925133562836,0.5023745799306625,4,True
shear_modulus_gv,chemical_system_group_4fold,C,4,0.32104980570375785,0.152003204244944,21.53136339724636,28.44913330674401,0.40661869866709544,4,True
shear_modulus_gv,chemical_system_group_4fold,C_E,4,0.36633283387685334,0.16515840385035765,20.326416910503657,27.39399718872083,0.5392742572773352,4,True
shear_modulus_gv,chemical_system_group_4fold,C_SHAM_E,4,0.2961958783152795,0.14707814910133954,22.560091433283787,29.00427644335806,0.4709304271004569,4,True
shear_modulus_gv,chemical_system_group_4fold,E,4,0.22706402255593824,0.11202157975138347,23.188746081060735,30.5455761428275,0.4007394131533908,4,True
