target,cohort,lane,scale,split_view,seed,model,rows,baseline_r2,baseline_mae,target_permutation_r2_mean,r2_minus_null
bulk_modulus,within_source_common,causal_common,full,row_random,11,ridge,13021,-0.0836707859908159,82139299.88790873,-0.8616516450745074,0.7779808590836915
bulk_modulus,within_source_common,causal_common,full,row_random,11,random_forest,13021,-40.26695628560703,62375351.72646232,-32.726147578266406,-7.540808707340624
bulk_modulus,within_source_common,causal_common,full,row_random,11,extra_trees,13021,-1.362535006991679,40544105.79441767,-12.236057007639866,10.873522000648189
bulk_modulus,within_source_common,causal_common,full,row_random,11,hist_gradient_boosting,13021,-0.0674330961756677,25746506.429675963,-0.5771346715986296,0.5097015754229619
bulk_modulus,within_source_common,causal_common,full,row_random,23,ridge,13021,-975.5589398996884,74197755.65868562,-3528.4296411940227,2552.870701294334
bulk_modulus,within_source_common,causal_common,full,row_random,23,random_forest,13021,-26486.15749591447,27467450.67009204,-480149.3647012842,453663.2072053698
bulk_modulus,within_source_common,causal_common,full,row_random,23,extra_trees,13021,-34629.51068711639,34099053.819773175,-233202.75997138143,198573.24928426504
bulk_modulus,within_source_common,causal_common,full,row_random,23,hist_gradient_boosting,13021,-11906.058587369822,60064723.01875279,-9355.43021665934,-2550.628370710483
bulk_modulus,within_source_common,causal_common,full,row_random,37,ridge,13021,-0.0550146264010811,82909311.24712755,-0.1712247951166185,0.1162101687155373
bulk_modulus,within_source_common,causal_common,full,row_random,37,random_forest,13021,-1.850280375999238,33487635.940769717,-23.189363491511696,21.33908311551246
bulk_modulus,within_source_common,causal_common,full,row_random,37,extra_trees,13021,-35.80780441066737,88122815.03535827,-13.569331711527733,-22.23847269913964
bulk_modulus,within_source_common,causal_common,full,row_random,37,hist_gradient_boosting,13021,-0.3180342934718647,60393356.97258708,-0.5773125363551764,0.2592782428833117
bulk_modulus,within_source_common,causal_common,full,reduced_composition_group,11,ridge,13021,-0.0164538737825528,86408803.21518229,-0.1333675015173494,0.1169136277347966
bulk_modulus,within_source_common,causal_common,full,reduced_composition_group,11,random_forest,13021,-1.2782418307159031,57213755.07036616,-12.096770827010182,10.81852899629428
bulk_modulus,within_source_common,causal_common,full,reduced_composition_group,11,extra_trees,13021,-3.396498907590604,67296816.68021944,-5.946503905421823,2.550004997831219
bulk_modulus,within_source_common,causal_common,full,reduced_composition_group,11,hist_gradient_boosting,13021,-0.436084348688611,79689205.57956469,-0.2297859128359863,-0.2062984358526246
bulk_modulus,within_source_common,causal_common,full,reduced_composition_group,23,ridge,13021,-0.0003764217614574,183538180.4007012,-0.0003900650430825,1.3643281625127168e-05
bulk_modulus,within_source_common,causal_common,full,reduced_composition_group,23,random_forest,13021,0.000163830068948,194130335.80477983,-0.0010166372585952,0.0011804673275433
bulk_modulus,within_source_common,causal_common,full,reduced_composition_group,23,extra_trees,13021,0.0003179024100173,186495780.1630233,-0.000565817374736,0.0008837197847534
bulk_modulus,within_source_common,causal_common,full,reduced_composition_group,23,hist_gradient_boosting,13021,0.0002360747977208,185023149.8346512,-0.0004081100519918,0.0006441848497126
bulk_modulus,within_source_common,causal_common,full,reduced_composition_group,37,ridge,13021,-0.3306068515148364,78732436.02226561,-0.8002703125622975,0.4696634610474611
bulk_modulus,within_source_common,causal_common,full,reduced_composition_group,37,random_forest,13021,-15.76643171632205,25589001.765964054,-178.3387379695058,162.57230625318377
bulk_modulus,within_source_common,causal_common,full,reduced_composition_group,37,extra_trees,13021,-15.850434974005388,53117913.22433571,-65.86059607881535,50.01016110480996
bulk_modulus,within_source_common,causal_common,full,reduced_composition_group,37,hist_gradient_boosting,13021,-5.560961092340952,66705605.823841706,-2.6865113254211463,-2.874449766919805
bulk_modulus,within_source_common,causal_common,full,chemical_system_group,11,ridge,13021,-0.4382585809971953,86041772.38176894,-0.6794831153002169,0.2412245343030216
bulk_modulus,within_source_common,causal_common,full,chemical_system_group,11,random_forest,13021,-6.282535253429158,35666816.76779511,-204.2685824934668,197.9860472400377
bulk_modulus,within_source_common,causal_common,full,chemical_system_group,11,extra_trees,13021,-28.25584087972276,81043942.31925264,-66.12977243725918,37.87393155753642
bulk_modulus,within_source_common,causal_common,full,chemical_system_group,11,hist_gradient_boosting,13021,-2.318821092975196,57720826.4856269,-2.369962086304468,0.0511409933292714
bulk_modulus,within_source_common,causal_common,full,chemical_system_group,23,ridge,13021,-0.0309417420325932,95134787.7103846,-0.0762168434357656,0.0452751014031723
bulk_modulus,within_source_common,causal_common,full,chemical_system_group,23,random_forest,13021,-8.870327920150539,124033055.1604496,-9.143000554015885,0.272672633865346
bulk_modulus,within_source_common,causal_common,full,chemical_system_group,23,extra_trees,13021,-4.413436435786164,84009483.81559272,-4.55756641205849,0.1441299762723265
bulk_modulus,within_source_common,causal_common,full,chemical_system_group,23,hist_gradient_boosting,13021,-0.1965325579063079,68577854.81229562,-0.1518488138706196,-0.0446837440356883
bulk_modulus,within_source_common,causal_common,full,chemical_system_group,37,ridge,13021,-0.0004404982338415,200164967.2792454,-0.0004326441834591,-7.854050382320287e-06
bulk_modulus,within_source_common,causal_common,full,chemical_system_group,37,random_forest,13021,0.0022886101730071,207763758.7570221,-0.0007028792475865,0.0029914894205937
bulk_modulus,within_source_common,causal_common,full,chemical_system_group,37,extra_trees,13021,-7.686593737132874e-05,203161533.70605987,-0.0007494680304572,0.0006726020930858
bulk_modulus,within_source_common,causal_common,full,chemical_system_group,37,hist_gradient_boosting,13021,-0.0004330984617235,197204310.0415105,-0.000443818307738,1.0719846014461954e-05
