task,fold,permutation_vs_removal_spearman,permutation_p,dropout_vs_removal_spearman,dropout_p
matbench_log_gvrh,0,-0.28150363271729767,0.0006894213403446059,-0.25096659408915933,0.0025906657286677713
matbench_log_gvrh,1,-0.0012846009249964899,0.9878945675890508,-0.048867225073398295,0.563589277383209
matbench_log_gvrh,2,0.14832006471203357,0.07814154925860017,0.11177285405634221,0.18540057734534934
matbench_log_gvrh,3,0.05403915832444452,0.5230010846189205,0.05961763738209649,0.48095080185850025
matbench_log_gvrh,4,-0.01419347808319939,0.8668599516533053,0.04311271587267991,0.6104414423610998
matbench_log_kvrh,0,0.14446416634010284,0.08629328635363943,0.11315594803757825,0.1799849943244275
matbench_log_kvrh,1,0.10669731826459426,0.20629520366739695,0.06672171101299061,0.4301510757135021
matbench_log_kvrh,2,0.14272062968496893,0.09019581815377718,0.1277874058815024,0.12963980050500426
matbench_log_kvrh,3,0.1449126240855339,0.08531164116984061,0.19000567906771085,0.02352251464637852
matbench_log_kvrh,4,0.21394577852474167,0.010570128573523125,0.14206680343929373,0.09169499314594615
matbench_mp_e_form,0,-0.09630315743591142,0.2542473314921104,-0.05310033089475703,0.5302570380641307
matbench_mp_e_form,1,-0.012387073519827492,0.8836767054596518,-0.013103767673740706,0.8769979910799153
matbench_mp_e_form,2,0.0072821993709017985,0.9314572277205656,0.05952123992279821,0.4816616371746435
matbench_mp_e_form,3,0.05536357559132508,0.5128514602729257,-0.025933012148175474,0.7593399673959587
matbench_mp_e_form,4,0.05720350970575724,0.49892159489893223,0.048326561062551475,0.5679174206538231
matbench_mp_gap,0,0.009658606302298242,0.9091736298536068,0.034076501861937884,0.6872452743328543
matbench_mp_gap,1,-0.05001142100332991,0.5544819271748875,-0.016087897718104493,0.8492877660188664
matbench_mp_gap,2,0.01423119882814219,0.8665093973583202,0.04180091598640574,0.621356535191732
matbench_mp_gap,3,-0.007680362789742472,0.9277194602924396,-0.025094773371668787,0.7668923071344129
matbench_mp_gap,4,0.15259927366610018,0.06983319101550371,0.07367071047023101,0.38358314009994693
